"balance","deposit"
27,"no "
27,"yes"
27,"no "
27,"no "
27,"no "
27,"no "
27,"no "
27,"no "
27,"no "
27,"yes"
27,"no "
27,"no "
27,"yes"
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"yes"
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"no "
26,"yes"
26,"yes"
26,"no "
26,"no "
26,"no "
26,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"yes"
25,"no "
25,"no "
25,"no "
25,"no "
25,"no "
24,"no "
24,"no "
24,"yes"
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"yes"
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"yes"
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
24,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"yes"
23,"no "
23,"no "
23,"yes"
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"yes"
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
23,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"yes"
22,"no "
22,"yes"
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"yes"
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"no "
22,"yes"
22,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"yes"
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
21,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"yes"
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
20,"no "
19,"yes"
19,"no "
19,"yes"
19,"no "
19,"no "
19,"no "
19,"yes"
19,"no "
19,"yes"
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"yes"
19,"yes"
19,"no "
19,"no "
19,"no "
19,"no "
19,"yes"
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"yes"
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"no "
19,"yes"
19,"no "
19,"no "
19,"no "
19,"yes"
19,"no "
19,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"yes"
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
18,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"yes"
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
17,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"yes"
16,"yes"
16,"no "
16,"no "
16,"no "
16,"no "
16,"yes"
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"yes"
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
16,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"yes"
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"yes"
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"no "
15,"yes"
15,"no "
15,"no "
15,"no "
15,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"yes"
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"no "
14,"yes"
14,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"yes"
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"yes"
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"yes"
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
13,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"yes"
12,"no "
12,"no "
12,"yes"
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"yes"
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"no "
12,"yes"
12,"no "
12,"no "
12,"no "
12,"yes"
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"yes"
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"yes"
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"yes"
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
11,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"yes"
10,"no "
10,"no "
10,"no "
10,"no "
10,"yes"
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"yes"
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
10,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"yes"
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"no "
9,"yes"
9,"no "
9,"yes"
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"yes"
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"yes"
8,"no "
8,"no "
8,"yes"
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
8,"yes"
8,"no "
8,"no "
8,"no "
8,"no "
8,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"yes"
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"yes"
7,"no "
7,"no "
7,"yes"
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
7,"no "
6,"no "
6,"no "
6,"no "
6,"yes"
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"yes"
6,"no "
6,"no "
6,"no "
6,"no "
6,"yes"
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"yes"
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"yes"
6,"yes"
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
6,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"yes"
5,"yes"
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"yes"
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
5,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"yes"
4,"yes"
4,"yes"
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
4,"yes"
4,"no "
4,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"yes"
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
3,"no "
3,"no "
3,"yes"
3,"no "
3,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"yes"
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
2,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
1,"no "
1,"no "
1,"no "
1,"no "
1,"no "
1,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"no "
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"yes"
0,"yes"
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
0,"no "
